_id,REPORT_NAME,SECTION,DESCRIPTION,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE
26736,OFFENSE 2.0,9488,False  Burglar Alarm,2015-04-14T00:29:00,1300 block Federal St N,Central Northside,1
26801,OFFENSE 2.0,9488,False  Burglar Alarm,2015-04-14T00:45:00,2100 block Merriman Way,South Side Flats,3
26830,OFFENSE 2.0,3934,Theft from Vehicle,2015-04-14T00:46:00,Gladstone St & Kaercher St,Greenfield,4
26864,OFFENSE 2.0,3702,Robbery of Motor Vehicle.,2015-04-14T01:05:00,Frankstown Ave & N Lang Ave,Homewood North,5
26737,OFFENSE 2.0,9501,Bench Warrant,2015-04-14T01:14:00,W Burgess St & Wilson Ave,Perry South,1
26738,ARREST,9501,Bench Warrant,2015-04-14T01:20:00,W Burgess St & Wilson Ave,Perry South,1
26865,OFFENSE 2.0,1501,Drivers Required to be Licensed.,2015-04-14T02:10:00,7300 block Frankstown Ave,Homewood North,5
26866,OFFENSE 2.0,1543,Driving While Operating Privilege is Suspended or Revoked.,2015-04-14T02:10:00,7300 block Frankstown Ave,Homewood North,5
26867,OFFENSE 2.0,2701,Simple Assault.,2015-04-14T02:10:00,7300 block Frankstown Ave,Homewood North,5
26802,ARREST,3304,Criminal Mischief.,2015-04-14T02:30:00,2300 block Mission St,South Side Slopes,3
26803,ARREST,2701,Simple Assault.,2015-04-14T02:30:00,900 block Industry St,Allentown,3
26832,OFFENSE 2.0,9500,Conversion - Field Contact Report,2015-04-14T02:30:00,ALDERSON St & TILBURY St,Squirrel Hill North,4
26833,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-04-14T02:30:00,ALDERSON St & TILBURY St,Squirrel Hill North,4
26804,ARREST,3304,Criminal Mischief.,2015-04-14T02:35:00,200 block Moore Ave,Knoxville,3
26868,OFFENSE 2.0,3745,Accidents Involving Damage to Unattended Veh.or Prop.,2015-04-14T03:56:00,7200 block Mt Vernon St,Homewood North,5
26834,OFFENSE 2.0,9501,Bench Warrant,2015-04-14T04:45:00,5200 block Centre Ave,Shadyside,4
26835,ARREST,9501,Bench Warrant,2015-04-14T05:00:00,5200 block Centre Ave,Shadyside,4
26836,OFFENSE 2.0,3934,Theft from Vehicle,2015-04-14T06:00:00,700 block Melbourne St,Greenfield,4
26869,ARREST,3304,Criminal Mischief.,2015-04-14T06:45:00,600 block N Murtland St,Homewood South,5
26870,ARREST,3503,Criminal Trespass,2015-04-14T06:45:00,600 block N Murtland St,Homewood South,5
26838,OFFENSE 2.0,3745,Accidents Involving Damage to Unattended Veh.or Prop.,2015-04-14T07:30:00,300 block Saline St,Greenfield,4
26739,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-04-14T08:00:00,500 block East Ohio St,East Allegheny,1
26740,OFFENSE 2.0,3921(a),Theft by Unlawful Taking or Disposition - Movable item,2015-04-14T08:30:00,1200 block Western Ave,Manchester,1
26741,OFFENSE 2.0,3925,Receiving Stolen Property.,2015-04-14T08:30:00,1200 block Western Ave,Manchester,1
26742,OFFENSE 2.0,3928,Unauthorized Use of Automobile and Other Vehicles.,2015-04-14T08:30:00,1200 block Western Ave,Manchester,1
26777,ARREST,13(a)(16),Possession of Controlled Substance,2015-04-14T08:30:00,300 block Blvd Of The Allies,Golden Triangle/Civic Arena,2
26778,ARREST,5123,Contraband.,2015-04-14T08:30:00,300 block Blvd Of The Allies,Golden Triangle/Civic Arena,2
26805,ARREST,13(a)(32),Paraphernalia - Use or Possession,2015-04-14T08:30:00,800 block Eureka St,Allentown,3
26806,ARREST,13(a)(30),Possession w/ Intent to Del. Controlled Substance,2015-04-14T08:30:00,800 block Eureka St,Allentown,3
26807,ARREST,13(a)(16),Possession of Controlled Substance,2015-04-14T08:30:00,800 block Eureka St,Allentown,3
26808,ARREST,6105(a)(1),Persons not to possess  use  manufacture  control  sell or transfer firearms: Former Convict enumerated in subsection (b),2015-04-14T08:30:00,800 block Eureka St,Allentown,3
26779,ARREST,3503.B1I,DEF. TRESPASS ACTUAL COMMUNICATION,2015-04-14T09:00:00,400 block Smithfield St,Golden Triangle/Civic Arena,2
26871,ARREST,3921(a),Theft by Unlawful Taking or Disposition - Movable item,2015-04-14T09:00:00,4500 block Penn Ave,Bloomfield,5
26780,OFFENSE 2.0,3502,Burglary.,2015-04-14T09:03:00,300 block Burrows St,Terrace Village,2
26781,ARREST,4915,Failure to Comply with Megans Law,2015-04-14T09:30:00,5000 block 2nd Ave,Bluff,2
26809,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-04-14T09:30:00,1500 block Celtic St,Carrick,3
26884,OFFENSE 2.0,29,Missing Juvenile,2015-04-14T09:30:00,1300 block Methyl St,Beechview,6
26782,ARREST,9136,Commitment to Await Requisition,2015-04-14T10:00:00,900 block Second Ave,Golden Triangle/Civic Arena,2
26743,ARREST,4304(a)(1),Endangering Welfare of Children.,2015-04-14T11:00:00,500 block Mairdale Ave,Perry North,1
26744,ARREST,2701,Simple Assault.,2015-04-14T11:00:00,500 block Mairdale Ave,Perry North,1
26745,ARREST,5901,Open Lewdness.,2015-04-14T11:25:00,400 block Mt Pleasant Rd,Northview Heights,1
26746,ARREST,2709.1,Stalking Conduct or Repeatedly Acts Including Follows,2015-04-14T11:25:00,400 block Mt Pleasant Rd,Northview Heights,1
26747,ARREST,2709,Harassment (Non-Specific),2015-04-14T11:25:00,400 block Mt Pleasant Rd,Northview Heights,1
26748,ARREST,2706,Terroristic Threats.,2015-04-14T11:25:00,400 block Mt Pleasant Rd,Northview Heights,1
26783,OFFENSE 2.0,3928,Unauthorized Use of Automobile and Other Vehicles.,2015-04-14T11:42:00,500 block East Ohio St,East Allegheny,2
26839,OFFENSE 2.0,9999,9999 - (Misc. Incident): ,2015-04-14T12:15:00,Shady Ave & Alder St,Shadyside,4
26872,ARREST,3304,Criminal Mischief.,2015-04-14T12:15:00,300 block N Negley Ave,East Liberty,5
26751,ARREST,3925,Receiving Stolen Property.,2015-04-14T12:45:00,1200 block Western Ave,Manchester,1
26752,ARREST,1543,Driving While Operating Privilege is Suspended or Revoked.,2015-04-14T12:45:00,1200 block Western Ave,Manchester,1
26749,ARREST,13(a)(16),Possession of Controlled Substance,2015-04-14T12:45:00,1200 block Western Ave,Manchester,1
26750,ARREST,3928,Unauthorized Use of Automobile and Other Vehicles.,2015-04-14T12:45:00,1200 block Western Ave,Manchester,1
26753,OFFENSE 2.0,2702,Aggravated Assault.,2015-04-14T13:10:00,1700 block Belleau Dr,Fineview,1
26754,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-14T13:10:00,1700 block Belleau Dr,Fineview,1
26873,OFFENSE 2.0,2709(a)(1),Harassment by Physical Contact  or Attempts or Threats,2015-04-14T13:20:00,Baum Blvd & S Graham St,Bloomfield,5
26874,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-14T13:20:00,Baum Blvd & S Graham St,Bloomfield,5
26875,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-04-14T13:30:00,6900 block Fleury Way,Homewood West,5
26876,OFFENSE 2.0,4106,Access Device Fraud,2015-04-14T13:30:00,6900 block Fleury Way,Homewood West,5
26755,OFFENSE 2.0,3353,Prohibitions in Specified Places.,2015-04-14T14:15:00,200 block East Ohio St,Allegheny Center,1
26756,ARREST,3353,Prohibitions in Specified Places.,2015-04-14T14:15:00,200 block East Ohio St,Allegheny Center,1
26757,ARREST,1543,Driving While Operating Privilege is Suspended or Revoked.,2015-04-14T14:15:00,200 block East Ohio St,Allegheny Center,1
26758,OFFENSE 2.0,13(a)(31),Marijuana: Possession Small Amount,2015-04-14T14:15:00,200 block East Ohio St,Allegheny Center,1
26759,OFFENSE 2.0,1543,Driving While Operating Privilege is Suspended or Revoked.,2015-04-14T14:15:00,200 block East Ohio St,Allegheny Center,1
26760,ARREST,13(a)(31),Marijuana: Possession Small Amount,2015-04-14T14:15:00,200 block East Ohio St,Allegheny Center,1
26784,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-14T14:30:00,5th Ave & Birmingham Brg,Bluff,2
26785,OFFENSE 2.0,3934,Theft from Vehicle,2015-04-14T14:30:00,5th Ave & Birmingham Brg,Bluff,2
26840,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-14T14:30:00,5th Ave & Brenham St,West Oakland,4
26841,OFFENSE 2.0,3934,Theft from Vehicle,2015-04-14T14:30:00,5th Ave & Brenham St,West Oakland,4
26842,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-04-14T14:40:00,Wilkins Ave,Squirrel Hill North,4
26885,OFFENSE 2.0,29,Missing Juvenile,2015-04-14T14:48:00,700 block Lorenz Ave,Elliott,6
26810,ARREST,13(a)(32),Paraphernalia - Use or Possession,2015-04-14T15:18:00,200 block Rinne St,Arlington,3
26812,OFFENSE 2.0,13(a)(32),Paraphernalia - Use or Possession,2015-04-14T15:18:00,200 block Rinne St,Arlington,3
26843,OFFENSE 2.0,2710,Ethnic Intimidation.,2015-04-14T15:40:00,6800 block Forward Ave,Squirrel Hill South,4
26844,OFFENSE 2.0,3304(a)(4),CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti  Aerosol Spray Paint  Broad Tip Marker  or Similar),2015-04-14T15:40:00,6800 block Forward Ave,Squirrel Hill South,4
26845,OFFENSE 2.0,3502,Burglary.,2015-04-14T15:40:00,6800 block Forward Ave,Squirrel Hill South,4
26762,OFFENSE 2.0,2709(a)(3),Harassment No Legitimate Purpose,2015-04-14T15:50:00,600 block east ohio St,East Allegheny,1
26763,OFFENSE 2.0,2701,Simple Assault.,2015-04-14T15:55:00,300 block Penfort St,Northview Heights,1
26764,ARREST,3925,Receiving Stolen Property.,2015-04-14T16:00:00,700 block Maginn Ave,Perry South,1
26765,ARREST,3921,Theft by Unlawful Taking or Disposition.,2015-04-14T16:00:00,700 block Maginn Ave,Perry South,1
26877,OFFENSE 2.0,29,Missing Juvenile,2015-04-14T16:00:00,900 block N Negley Ave,Highland Park,5
26813,OFFENSE 2.0,9999,9999 - (Misc. Incident): ,2015-04-14T16:10:00,Terminal Way,South Side Flats,3
26814,OFFENSE 2.0,13(a)(32),Paraphernalia - Use or Possession,2015-04-14T16:12:00,100 block Madeline St,Carrick,3
26815,OFFENSE 2.0,3502,Burglary.,2015-04-14T16:30:00,2100 block Saw Mill Run Blvd,Overbrook,3
26886,OFFENSE 2.0,9489,Found Property,2015-04-14T16:30:00,800 block Woodlow St,Crafton Heights,6
26816,ARREST,13(a)(32),Paraphernalia - Use or Possession,2015-04-14T17:00:00,100 block Madeline St,Carrick,3
26846,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-14T17:00:00,W Circuit Dr & Schenley Dr,Squirrel Hill South,4
26847,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-14T17:10:00,5600 block 2nd Ave,Hazelwood,4
26766,OFFENSE 2.0,9501,Bench Warrant,2015-04-14T17:16:00,Wessel Way & Rhine St,Spring Hill-City View,1
26767,OFFENSE 2.0,13(a)(16),Possession of Controlled Substance,2015-04-14T17:16:00,Wessel Way & Rhine St,Spring Hill-City View,1
26817,OFFENSE 2.0,2709,Harassment (Non-Specific),2015-04-14T17:16:00,600 block E Warrington Ave,Allentown,3
26818,OFFENSE 2.0,2701(a)(3),Simple Assault - Attempts by Physical Menace ,2015-04-14T17:16:00,600 block E Warrington Ave,Allentown,3
26768,ARREST,9501,Bench Warrant,2015-04-14T17:18:00,Wessel Way & Rhine St,Spring Hill-City View,1
26769,ARREST,13(a)(16),Possession of Controlled Substance,2015-04-14T17:18:00,Wessel Way & Rhine St,Spring Hill-City View,1
26786,OFFENSE 2.0,2709(a)(1),Harassment by Physical Contact  or Attempts or Threats,2015-04-14T17:20:00,1000 block Herron Ave,Polish Hill,2
26887,OFFENSE 2.0,9999,9999 - (Misc. Incident): Overdose with paraphenelia ,2015-04-14T17:25:00,2400 block West Liberty Ave,Brookline,6
26787,OFFENSE 2.0,13(a)(16),Possession of Controlled Substance,2015-04-14T17:26:00,Mon Wharf Blvd,Golden Triangle/Civic Arena,2
26788,ARREST,602.04,Panhandling and Prohibited Conduct,2015-04-14T17:26:00,Mon Wharf Blvd,Golden Triangle/Civic Arena,2
26789,ARREST,5507,Obstructing Highways and Passages.,2015-04-14T17:26:00,Mon Wharf Blvd,Golden Triangle/Civic Arena,2
26790,ARREST,4910,Tampering with or Fabricating Physical Evidence.,2015-04-14T17:26:00,Mon Wharf Blvd,Golden Triangle/Civic Arena,2
26791,ARREST,13(a)(16),Possession of Controlled Substance,2015-04-14T17:26:00,Mon Wharf Blvd,Golden Triangle/Civic Arena,2
26792,OFFENSE 2.0,4910,Tampering with or Fabricating Physical Evidence.,2015-04-14T17:26:00,Mon Wharf Blvd,Golden Triangle/Civic Arena,2
26793,OFFENSE 2.0,5507,Obstructing Highways and Passages.,2015-04-14T17:26:00,Mon Wharf Blvd,Golden Triangle/Civic Arena,2
26794,OFFENSE 2.0,602.04,Panhandling and Prohibited Conduct,2015-04-14T17:26:00,Mon Wharf Blvd,Golden Triangle/Civic Arena,2
26878,OFFENSE 2.0,2701,Simple Assault.,2015-04-14T17:50:00,Brushton Ave & Forest Way,Homewood North,5
26819,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-04-14T18:00:00,400 block Parkwood Rd,Arlington,3
26848,OFFENSE 2.0,3304(a)(5),CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,2015-04-14T18:00:00,6500 block Bartlett St,Squirrel Hill South,4
26879,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-14T18:00:00,6300 block Penn Ave,East Liberty,5
26820,OFFENSE 2.0,2709(a)(3),Harassment No Legitimate Purpose,2015-04-14T18:35:00,700 block Eureka St,Allentown,3
26770,ARREST,2701,Simple Assault.,2015-04-14T18:42:00,1800 block Winhurst St,Brighton Heights,1
26771,OFFENSE 2.0,2701,Simple Assault.,2015-04-14T18:42:00,1800 block Winhurst St,Brighton Heights,1
26772,ARREST,2701,Simple Assault.,2015-04-14T18:42:00,1800 block Winhurst St,Brighton Heights,1
26821,OFFENSE 2.0,3502,Burglary.,2015-04-14T18:45:00,600 block Southern Ave,Mount Washington,3
26811,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-14T19:00:00,600 block Southcrest Ct,Brookline,6
26831,OFFENSE 2.0,9999,9999 - (Misc. Incident): overdose,2015-04-14T19:30:00,Woodville Ave,West End,6
26849,OFFENSE 2.0,3802(c),DUI - Highest Rate of Alcohol - BAC >= .16%,2015-04-14T19:47:00,Blvd Of The Allies & Juliet St,Central Oakland,4
26850,OFFENSE 2.0,3802(a)(1),DUI - General Impairment,2015-04-14T19:47:00,Blvd Of The Allies & Juliet St,Central Oakland,4
26851,OFFENSE 2.0,4703,Operation of Vehicle without Official Certif. of Inspection,2015-04-14T19:47:00,Blvd Of The Allies & Juliet St,Central Oakland,4
26852,OFFENSE 2.0,3361, Driving Vehicle at Safe Speed.,2015-04-14T19:47:00,Blvd Of The Allies & Juliet St,Central Oakland,4
26853,ARREST,3802(c),DUI - Highest Rate of Alcohol - BAC >= .16%,2015-04-14T19:55:00,Blvd Of The Allies & Juliet St,Central Oakland,4
26854,ARREST,3802(a)(1),DUI - General Impairment,2015-04-14T19:55:00,Blvd Of The Allies & Juliet St,Central Oakland,4
26855,ARREST,3361, Driving Vehicle at Safe Speed.,2015-04-14T19:55:00,Blvd Of The Allies & Juliet St,Central Oakland,4
26856,ARREST,4703,Operation of Vehicle without Official Certif. of Inspection,2015-04-14T19:55:00,Blvd Of The Allies & Juliet St,Central Oakland,4
26773,ARREST,2701,Simple Assault.,2015-04-14T20:00:00,3200 block Rothpletz St,Marshall-Shadeland,1
26822,OFFENSE 2.0,3502,Burglary.,2015-04-14T20:00:00,100 block Laclede St,Mount Washington,3
26795,OFFENSE 2.0,2702,Aggravated Assault.,2015-04-14T20:13:00,200 block Dinwiddie St,Crawford-Roberts,2
26797,OFFENSE 2.0,3701,Robbery.,2015-04-14T20:13:00,200 block Dinwiddie St,Crawford-Roberts,2
26798,OFFENSE 2.0,2902,Unlawful Restraint.,2015-04-14T20:13:00,200 block Dinwiddie St,Crawford-Roberts,2
26799,OFFENSE 2.0,2705,Recklessly Endangering Another Person.,2015-04-14T20:13:00,200 block Dinwiddie St,Crawford-Roberts,2
26800,OFFENSE 2.0,3702,Robbery of Motor Vehicle.,2015-04-14T20:13:00,200 block Dinwiddie St,Crawford-Roberts,2
26857,OFFENSE 2.0,3503,Criminal Trespass,2015-04-14T20:35:00,3300 block Dawson St,South Oakland,4
26858,OFFENSE 2.0,3714,Careless Driving,2015-04-14T20:50:00,College Ave & Holden St,Shadyside,4
26859,OFFENSE 2.0,3802(a)(1),DUI - General Impairment,2015-04-14T20:50:00,College Ave & Holden St,Shadyside,4
26860,OFFENSE 2.0,3802(c),DUI - Highest Rate of Alcohol - BAC >= .16%,2015-04-14T20:50:00,College Ave & Holden St,Shadyside,4
26861,ARREST,3714,Careless Driving,2015-04-14T21:22:00,College Ave & Holden St,Shadyside,4
26862,ARREST,3802(a)(1),DUI - General Impairment,2015-04-14T21:22:00,College Ave & Holden St,Shadyside,4
26863,ARREST,3802(c),DUI - Highest Rate of Alcohol - BAC >= .16%,2015-04-14T21:22:00,College Ave & Holden St,Shadyside,4
26880,OFFENSE 2.0,3802(a)(1),DUI - General Impairment,2015-04-14T22:09:00,6700 block Kelly St,Homewood West,5
26881,OFFENSE 2.0,3802(c),DUI - Highest Rate of Alcohol - BAC >= .16%,2015-04-14T22:09:00,6700 block Kelly St,Homewood West,5
26775,OFFENSE 2.0,3503(b.1),Criminal Trespass - Simple Trespasser,2015-04-14T22:25:00,400 block North Shore Dr,Lincoln-Lemington-Belmar,1
26882,ARREST,3802(c),DUI - Highest Rate of Alcohol - BAC >= .16%,2015-04-14T22:45:00,6700 block Kelly St,Homewood West,5
26883,ARREST,3802(a)(1),DUI - General Impairment,2015-04-14T22:45:00,6700 block Kelly St,Homewood West,5
26823,OFFENSE 2.0,2702,Aggravated Assault.,2015-04-14T23:00:00,E Warrington Ave & Millbridge St,Allentown,3
26824,OFFENSE 2.0,3701,Robbery.,2015-04-14T23:00:00,E Warrington Ave & Millbridge St,Allentown,3
26825,ARREST,907,Possessing Instruments of Crime.,2015-04-14T23:03:00,200 block Poplargrove St,Carrick,3
26826,ARREST,5503(a)(4),DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,2015-04-14T23:03:00,200 block Poplargrove St,Carrick,3
26827,ARREST,2709(a)(1),Harassment by Physical Contact  or Attempts or Threats,2015-04-14T23:03:00,200 block Poplargrove St,Carrick,3
26828,ARREST,2701(a)(3),Simple Assault - Attempts by Physical Menace ,2015-04-14T23:03:00,200 block Poplargrove St,Carrick,3
26829,ARREST,2706,Terroristic Threats.,2015-04-14T23:03:00,200 block Poplargrove St,Carrick,3
26999,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-04-15T00:01:00,600 block Sheridan Ave,East Liberty,5
26888,OFFENSE 2.0,9999,9999 - (Misc. Incident): Pepper spray,2015-04-15T00:02:00,100 block Rhine Pl,Spring Hill-City View,1
27025,OFFENSE 2.0,3934,Theft from Vehicle,2015-04-15T00:14:00,3700 block Chartiers Ave,Chartiers City,6
26937,OFFENSE 2.0,5505,Public Drunkenness,2015-04-15T00:15:00,Fort Duquesne Blvd & 6th St,Golden Triangle/Civic Arena,2
27026,OFFENSE 2.0,9496,Dead on Arrival (DOA),2015-04-15T00:17:00,3200 block Faronia St,Sheraden,6
26889,ARREST,13(a)(16),Possession of Controlled Substance,2015-04-15T00:25:00,3200 block Mc Clure Ave,Marshall-Shadeland,1
26890,OFFENSE 2.0,13(a)(16),Possession of Controlled Substance,2015-04-15T00:25:00,3200 block Mc Clure Ave,Marshall-Shadeland,1
26891,OFFENSE 2.0,2709(a)(3),Harassment No Legitimate Purpose,2015-04-15T00:47:00,Ohio River Blvd & Mckees Rocks Brg,Brighton Heights,1
26966,OFFENSE 2.0,2709(a)(4),Harassment Communicates Prohibited Acts,2015-04-15T00:55:00,2400 block Arlington Ave,South Side Slopes,3
26938,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-15T01:00:00,Diamond St & Boyd St,Bluff,2
26939,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-15T01:50:00,Boyd St & Diamond St,Bluff,2
26892,ARREST,9501,Bench Warrant,2015-04-15T01:56:00,1500 block Brighton Rd,California-Kirkbride,1
26893,OFFENSE 2.0,9501,Bench Warrant,2015-04-15T01:56:00,1500 block Brighton Rd,California-Kirkbride,1
26894,OFFENSE 2.0,9999,9999 - (Misc. Incident): Warrant arrest,2015-04-15T01:56:00,1500 block Brighton Rd,California-Kirkbride,1
26940,OFFENSE 2.0,3921(a),Theft by Unlawful Taking or Disposition - Movable item,2015-04-15T02:15:00,1700 block Forbes Ave,Bluff,2
26941,OFFENSE 2.0,2701(a)(1),Simple Assault - Intent.  Know.  Reckless.Cause Bod. Injury,2015-04-15T02:15:00,1400 block 5th Ave,Bluff,2
26967,OFFENSE 2.0,3802(a)(1),DUI - General Impairment,2015-04-15T03:08:00,E Carson St & S 18th St,South Side Flats,3
26968,OFFENSE 2.0,3802(c),DUI - Highest Rate of Alcohol - BAC >= .16%,2015-04-15T03:08:00,E Carson St & S 18th St,South Side Flats,3
26969,OFFENSE 2.0,4302,Periods for Requiring Lighted Lamps.,2015-04-15T03:08:00,E Carson St & S 18th St,South Side Flats,3
26970,ARREST,3802(a)(1),DUI - General Impairment,2015-04-15T03:18:00,E Carson St & S 18th St,South Side Flats,3
26971,ARREST,3802(c),DUI - Highest Rate of Alcohol - BAC >= .16%,2015-04-15T03:18:00,E Carson St & S 18th St,South Side Flats,3
26972,ARREST,4302,Periods for Requiring Lighted Lamps.,2015-04-15T03:18:00,E Carson St & S 18th St,South Side Flats,3
26973,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-04-15T04:00:00,200 block Fernleaf St,Arlington,3
26895,OFFENSE 2.0,1543,Driving While Operating Privilege is Suspended or Revoked.,2015-04-15T04:57:00,Ohio River Blvd & I-279,Chateau,1
26897,OFFENSE 2.0,3802(b),DUI - High Rate of Alchol - BAC >=.10% <.16%,2015-04-15T04:57:00,Ohio River Blvd & I-279,Chateau,1
26898,OFFENSE 2.0,3714,Careless Driving,2015-04-15T04:57:00,Ohio River Blvd & I-279,Chateau,1
26899,OFFENSE 2.0,3802(a)(1),DUI - General Impairment,2015-04-15T04:57:00,Ohio River Blvd & I-279,Chateau,1
26900,ARREST,3714,Careless Driving,2015-04-15T05:00:00,Ohio River Blvd & I-279,Chateau,1
26901,ARREST,3802(a)(1),DUI - General Impairment,2015-04-15T05:00:00,Ohio River Blvd & I-279,Chateau,1
26902,ARREST,1543,Driving While Operating Privilege is Suspended or Revoked.,2015-04-15T05:00:00,Ohio River Blvd & I-279,Chateau,1
26903,ARREST,3802(b),DUI - High Rate of Alchol - BAC >=.10% <.16%,2015-04-15T05:00:00,Ohio River Blvd & I-279,Chateau,1
26904,OFFENSE 2.0,9489,Found Property,2015-04-15T06:40:00,Reedsdale St & Art Rooney Ave,North Shore,1
26905,OFFENSE 2.0,9489,Found Property,2015-04-15T07:00:00,4100 block Grizella,Perry North,1
26974,OFFENSE 2.0,3502,Burglary.,2015-04-15T07:00:00,1800 block Westmont Ave,Carrick,3
27001,ARREST,2701(a)(1),Simple Assault - Intent.  Know.  Reckless.Cause Bod. Injury,2015-04-15T07:10:00,5700 block Baum Blvd,East Liberty,5
26165,OFFENSE 2.0,1543,Driving While Operating Privilege is Suspended or Revoked.,2015-04-15T08:08:00,1200 block Troy Hill Rd,Troy Hill-Herrs Island,1
26166,OFFENSE 2.0,13(a)(32),Paraphernalia - Use or Possession,2015-04-15T08:08:00,1200 block Troy Hill Rd,Troy Hill-Herrs Island,1
26167,OFFENSE 2.0,1501,Drivers Required to be Licensed.,2015-04-15T08:08:00,1200 block Troy Hill Rd,Troy Hill-Herrs Island,1
26168,OFFENSE 2.0,3802(a)(1),DUI - General Impairment,2015-04-15T08:08:00,1200 block Troy Hill Rd,Troy Hill-Herrs Island,1
26907,OFFENSE 2.0,13(a)(16),Possession of Controlled Substance,2015-04-15T08:08:00,1200 block Troy Hill Rd,Troy Hill-Herrs Island,1
26908,OFFENSE 2.0,3934,Theft from Vehicle,2015-04-15T08:20:00,Art Rooney Ave & General Robinson St W,North Shore,1
26909,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-15T08:20:00,Art Rooney Ave & General Robinson St W,North Shore,1
26942,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-04-15T08:35:00,4100 block Willow St,Central Lawrenceville,2
26975,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-15T08:45:00,S 22nd St & Wharton St,South Side Flats,3
26910,ARREST,3802(a)(1),DUI - General Impairment,2015-04-15T08:50:00,1200 block Troy Hill Rd,Troy Hill-Herrs Island,1
26911,OFFENSE 2.0,3745,Accidents Involving Damage to Unattended Veh.or Prop.,2015-04-15T08:50:00,1700 block Marmaduke St,Brighton Heights,1
26913,ARREST,1501,Drivers Required to be Licensed.,2015-04-15T08:50:00,1200 block Troy Hill Rd,Troy Hill-Herrs Island,1
26914,ARREST,1543,Driving While Operating Privilege is Suspended or Revoked.,2015-04-15T08:50:00,1200 block Troy Hill Rd,Troy Hill-Herrs Island,1
26915,ARREST,13(a)(32),Paraphernalia - Use or Possession,2015-04-15T08:50:00,1200 block Troy Hill Rd,Troy Hill-Herrs Island,1
26916,ARREST,13(a)(16),Possession of Controlled Substance,2015-04-15T08:50:00,1200 block Troy Hill Rd,Troy Hill-Herrs Island,1
26993,OFFENSE 2.0,3921(a),Theft by Unlawful Taking or Disposition - Movable item,2015-04-15T08:58:00,100 block N Dithridge St,North Oakland,4
27002,ARREST,2701,Simple Assault.,2015-04-15T09:00:00,400 block Dargan St,Bloomfield,5
27003,ARREST,5503(a)(1),DISORDERLY CONDUCT - ENGAGE IN FIGHTING,2015-04-15T09:00:00,400 block Dargan St,Bloomfield,5
27004,ARREST,5503(a)(1),DISORDERLY CONDUCT - ENGAGE IN FIGHTING,2015-04-15T09:00:00,400 block Dargan St,Bloomfield,5
27005,ARREST,2701,Simple Assault.,2015-04-15T09:00:00,400 block Dargan St,Bloomfield,5
26976,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-15T09:00:00,500 block Michigan St,Beltzhoover,3
26977,OFFENSE 2.0,3921(a),Theft by Unlawful Taking or Disposition - Movable item,2015-04-15T09:30:00,1100 block Freyburg St,South Side Flats,3
26978,ARREST,2701,Simple Assault.,2015-04-15T09:52:00,100 block Meritt Ave,Carrick,3
26979,ARREST,2709(b),Stalking,2015-04-15T09:52:00,100 block Meritt Ave,Carrick,3
27006,OFFENSE 2.0,9496,Dead on Arrival (DOA),2015-04-15T10:17:00,1500 block Windcrest Dr,Stanton Heights,5
26917,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-15T10:30:00,1500 block Brighton Rd,California-Kirkbride,1
26994,OFFENSE 2.0,3934,Theft from Vehicle,2015-04-15T10:30:00,4500 block Winterburn Ave,Hazelwood,4
27007,OFFENSE 2.0,13(a)(16),Possession of Controlled Substance,2015-04-15T10:40:00,400 block N Highland Ave,East Liberty,5
27008,OFFENSE 2.0,13(a)(32),Paraphernalia - Use or Possession,2015-04-15T10:40:00,400 block N Highland Ave,East Liberty,5
27009,ARREST,13(a)(16),Possession of Controlled Substance,2015-04-15T10:45:00,400 block N Highland Ave,East Liberty,5
27010,ARREST,13(a)(32),Paraphernalia - Use or Possession,2015-04-15T10:45:00,400 block N Highland Ave,East Liberty,5
